Statement Analysis
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Max Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Temp. Tables (#),Temp. Disk Tables (#),Rows Sorted (#),Sort Merge Passes (#),Digest
CALL `sys` . `ps_truncate_all_tables` (?),,1,0,0,45425.70,45425.70,45425.70,0,0.0,0,0.0,0,0,0,0,e5dd2bf31d077db78bbf1d69d34ff47364c0d04f7a585a954fffbfab14874e6c
"CREATE TABLE IF NOT EXISTS `BorrowedList` ( `borrow_id` INTEGER AUTO_INCREMENT PRIMARY KEY , `user_id` INTEGER NOT NULL , `book_id` INTEGER NOT NULL , `borrow_date` DATE NOT NULL , `due_date` DATE NOT NULL , `return_date` DATE , `is_returned` BOOLEAN DEFAULT FALSE , FOREIGN KEY ( `user_id` ) REFERENCES SYSTEM_USER ( `userId` ) ON DELETE CASCADE , FOREIGN KEY ( `book_id` ) REFERENCES `Book` ( `id` ) ON DELETE CASCADE )",,2,0,1,52371.60,48916.50,26185.80,0,0.0,0,0.0,0,0,0,0,8e10710455125655251442770fd0b58e02f9679f96f135792e7881fdd368d335
"CREATE TABLE IF NOT EXISTS `Review` ( `reviewId` INTEGER AUTO_INCREMENT PRIMARY KEY , `userId` INTEGER NOT NULL , `bookId` INTEGER NOT NULL , `content` VARCHARACTER (?) , `ratings` DECIMAL (...) , FOREIGN KEY ( `userId` ) REFERENCES SYSTEM_USER ( `userId` ) ON DELETE CASCADE , FOREIGN KEY ( `bookId` ) REFERENCES `Book` ( `id` ) ON DELETE CASCADE )",,3,0,2,56927.30,49860.20,18975.70,0,0.0,0,0.0,0,0,0,0,eea8d573a9bd4bd54ab2aab8786c69e5f4002d4c197e3f168c157643fd4b1477
"CREATE TABLE IF NOT EXISTS SYSTEM_USER ( `userId` INTEGER AUTO_INCREMENT PRIMARY KEY , `first_name` VARCHARACTER (?) , `last_name` VARCHARACTER (?) NOT NULL , `email` VARCHARACTER (?) NOT NULL UNIQUE , PASSWORD VARCHARACTER (?) NOT NULL , `fees_due` DECIMAL (...) DEFAULT ? , `user_type` CHARACTER (?) )",,3,0,2,47321.80,41579.20,15773.90,0,0.0,0,0.0,0,0,0,0,d4b67de50a4f4100eb0adc790cf11060839889dab3a0b0bd5d06be89dfd369b2
"CREATE TABLE IF NOT EXISTS `Book` ( `id` INTEGER AUTO_INCREMENT PRIMARY KEY , `title` VARCHARACTER (?) NOT NULL UNIQUE , TYPES VARCHARACTER (?) , `authors` VARCHARACTER (?) , `abstract` LONGTEXT , `languages` TEXT , `createdDate` DATE , `coverURL` VARCHARACTER (?) , `subjects` VARCHARACTER (?) , `isbns` VARCHARACTER (?) )",,4,0,3,48971.20,41206.80,12242.80,0,0.0,0,0.0,0,0,0,0,7972efd2b1da60d041137b6e98bdff9a4fc11e7f6997ab20835701818bdd5248
CREATE INDEX `idx_userId` ON `Review` ( `userId` ),,3,2,0,28117.30,26700.10,9372.40,0,0.0,0,0.0,0,0,0,0,412d20a40663d69b7a6745abffb1c1e503ff2b6f81b2f50a362f78a47d7ed4cd
CREATE INDEX `idx_bookId` ON `Review` ( `bookId` ),,3,2,0,26268.70,25470.00,8756.20,0,0.0,0,0.0,0,0,0,0,6e15cd16d5c1ccdbf761e75d96c941a26496b74bfe9a908dbc79c32b185f57e8
COMMIT,,22,0,0,49620.10,9555.20,2255.40,0,0.0,0,0.0,0,0,0,0,f2b9be5f0f32ca7507e4ddf133cd2fad0993a1c26fde9caa6f067b1af2b7603c
SHOW COLLATION,*,1,0,0,1694.00,1694.00,1694.00,286,286.0,613,613.0,1,0,286,0,f547ffac4814e362ef0421e4a45a6137d4be89fbb5ba419e1813d13647bcb53a
SHOW FULL TABLES FROM `sys` WHERE `Table_type` = ?,,1,0,0,1472.70,1472.70,1472.70,100,100.0,203,203.0,0,0,100,0,ac1d8a79e2dc1200a392dbd561459fc33904552ced93aaa795f0dca54d4f8c2a
SHOW VARIABLES,*,2,0,0,2858.00,1719.50,1429.00,1314,657.0,1314,657.0,2,0,0,0,9959c56ef11ca3c143a80d199705b5128cb5dfbbdc967225c4bd603595738aab
